recall_id,prod_start,prod_end,recall_date,recall_count,recall_reason,car_id,defect_id
14,2009-03-08,2011-03-06,2012-02-20,738,"디젤연료 내에 이물질을 걸러내 주는 장치(히터내장형 연료필터)에서 연료가 누유되는 결함이 발생하여 이 연료가 뒤따라오는 자동차의 바퀴와 도로 사이에 묻어 운전자가 의도한 대로 방향조정이 되지 않아, 자신의 차량은 물론 다른 차량의 안전운행에 지장",2,5
15,2009-06-05,2011-05-31,2012-02-20,1214,"디젤연료 내에 이물질을 걸러내 주는 장치(히터내장형 연료필터)에서 연료가 누유되는 결함이 발생하여 이 연료가 뒤따라오는 자동차의 바퀴와 도로 사이에 묻어 운전자가 의도한 대로 방향조정이 되지 않아, 자신의 차량은 물론 다른 차량의 안전운행에 지장",13,5
16,2010-11-24,2011-09-27,2012-02-24,1873,ABS 장치를 조립 할 때 수분이 함유된 조립용 윤활제를 사용하여 유압펌프 피스톤이 부식 및 ABS를 작동 오일에 공기가 혼입되어 제동성능이 떨어질 가능성,14,1
17,2008-06-06,2011-09-16,2012-02-27,65,뒷바퀴 브레이크의 작동여부를 감지하는 스위치에서 브레이크 오일이 누유 되어 브레이크 등(stop lamp)이 점등되지 않거나 브레이크가 작동되지 않아 안전운행에 지장,15,1
18,2008-06-06,2011-09-16,2012-02-27,72,뒷바퀴 브레이크의 작동여부를 감지하는 스위치에서 브레이크 오일이 누유 되어 브레이크 등(stop lamp)이 점등되지 않거나 브레이크가 작동되지 않아 안전운행에 지장,16,1
19,2008-06-06,2011-09-16,2012-02-27,268,뒷바퀴 브레이크의 작동여부를 감지하는 스위치에서 브레이크 오일이 누유 되어 브레이크 등(stop lamp)이 점등되지 않거나 브레이크가 작동되지 않아 안전운행에 지장,17,1
20,2008-06-06,2011-09-16,2012-02-27,389,뒷바퀴 브레이크의 작동여부를 감지하는 스위치에서 브레이크 오일이 누유 되어 브레이크 등(stop lamp)이 점등되지 않거나 브레이크가 작동되지 않아 안전운행에 지장,18,1
21,2008-06-06,2011-09-16,2012-02-27,229,뒷바퀴 브레이크의 작동여부를 감지하는 스위치에서 브레이크 오일이 누유 되어 브레이크 등(stop lamp)이 점등되지 않거나 브레이크가 작동되지 않아 안전운행에 지장,19,1
22,2008-06-06,2011-09-16,2012-02-27,6,뒷바퀴 브레이크의 작동여부를 감지하는 스위치에서 브레이크 오일이 누유 되어 브레이크 등(stop lamp)이 점등되지 않거나 브레이크가 작동되지 않아 안전운행에 지장,20,1
23,2008-06-06,2011-09-16,2012-02-27,22,뒷바퀴 브레이크의 작동여부를 감지하는 스위치에서 브레이크 오일이 누유 되어 브레이크 등(stop lamp)이 점등되지 않거나 브레이크가 작동되지 않아 안전운행에 지장,21,1
24,2008-06-06,2011-09-16,2012-02-27,52,뒷바퀴 브레이크의 작동여부를 감지하는 스위치에서 브레이크 오일이 누유 되어 브레이크 등(stop lamp)이 점등되지 않거나 브레이크가 작동되지 않아 안전운행에 지장,22,1
25,2008-06-06,2011-09-16,2012-02-27,34,뒷바퀴 브레이크의 작동여부를 감지하는 스위치에서 브레이크 오일이 누유 되어 브레이크 등(stop lamp)이 점등되지 않거나 브레이크가 작동되지 않아 안전운행에 지장,23,1
26,2008-06-06,2011-09-16,2012-02-27,12,뒷바퀴 브레이크의 작동여부를 감지하는 스위치에서 브레이크 오일이 누유 되어 브레이크 등(stop lamp)이 점등되지 않거나 브레이크가 작동되지 않아 안전운행에 지장,24,1
27,2008-06-06,2011-09-16,2012-02-27,61,뒷바퀴 브레이크의 작동여부를 감지하는 스위치에서 브레이크 오일이 누유 되어 브레이크 등(stop lamp)이 점등되지 않거나 브레이크가 작동되지 않아 안전운행에 지장,25,1
28,2008-06-06,2011-09-16,2012-02-27,1,뒷바퀴 브레이크의 작동여부를 감지하는 스위치에서 브레이크 오일이 누유 되어 브레이크 등(stop lamp)이 점등되지 않거나 브레이크가 작동되지 않아 안전운행에 지장,26,1
29,2008-06-06,2011-09-16,2012-02-27,17,뒷바퀴 브레이크의 작동여부를 감지하는 스위치에서 브레이크 오일이 누유 되어 브레이크 등(stop lamp)이 점등되지 않거나 브레이크가 작동되지 않아 안전운행에 지장,27,1
30,2006-04-11,2009-11-06,2012-02-29,1572,ABS제어장치(모듈레이터)내 일부 부품에서 부식이 발생하여 브레이크 밀림현상이 발생하여 안전운행에 지장,28,1
31,2006-04-11,2009-11-06,2012-02-29,65432,ABS제어장치(모듈레이터)내 일부 부품에서 부식이 발생하여 브레이크 밀림현상이 발생하여 안전운행에 지장,29,1
32,2010-10-26,2010-10-26,2012-03-01,1,변속기결함으로 뒷바퀴가 고착 되어 안전운행에 지장,30,4
33,2011-08-29,2011-12-05,2012-03-02,5,완벽히 건조되지 않은 원료로 제작된 연료호스의 내부에 미세한 균열이 발생하고 심한 경우 연료가 누유 되어 화재가 발생하여 안전운행에 지장,31,5
34,2011-09-01,2011-12-05,2012-03-02,6,완벽히 건조되지 않은 원료로 제작된 연료호스의 내부에 미세한 균열이 발생하고 심한 경우 연료가 누유 되어 화재가 발생하여 안전운행에 지장,32,5
35,2011-08-30,2011-12-05,2012-03-02,1,완벽히 건조되지 않은 원료로 제작된 연료호스의 내부에 미세한 균열이 발생하고 심한 경우 연료가 누유 되어 화재가 발생하여 안전운행에 지장,33,5
36,2011-06-23,2011-11-30,2012-03-02,2,완벽히 건조되지 않은 원료로 제작된 연료호스의 내부에 미세한 균열이 발생하고 심한 경우 연료가 누유 되어 화재가 발생하여 안전운행에 지장,34,5
37,2010-03-08,2012-01-31,2012-03-05,4,전조등의 조립방법이 일반적인 차량과 달라 자동차를 정비하는 과정에서 전조등조립이 정상적으로 되지 않아 주행 중 차체에서 떨어져 안전운행에 지장,35,10
38,2010-03-08,2012-01-31,2012-03-05,162,전조등의 조립방법이 일반적인 차량과 달라 자동차를 정비하는 과정에서 전조등조립이 정상적으로 되지 않아 주행 중 차체에서 떨어져 안전운행에 지장,36,10
39,2010-03-08,2012-01-31,2012-03-05,253,전조등의 조립방법이 일반적인 차량과 달라 자동차를 정비하는 과정에서 전조등조립이 정상적으로 되지 않아 주행 중 차체에서 떨어져 안전운행에 지장,37,10
40,2010-03-08,2012-01-31,2012-03-05,594,전조등의 조립방법이 일반적인 차량과 달라 자동차를 정비하는 과정에서 전조등조립이 정상적으로 되지 않아 주행 중 차체에서 떨어져 안전운행에 지장,38,10
41,2010-03-08,2012-01-31,2012-03-05,180,전조등의 조립방법이 일반적인 차량과 달라 자동차를 정비하는 과정에서 전조등조립이 정상적으로 되지 않아 주행 중 차체에서 떨어져 안전운행에 지장,39,10
42,2011-03-07,2011-06-25,2012-03-07,362,슬리핑 베드 내부 패드의 난연성(難燃性)이 안전기준에 부적합,40,6
43,2011-03-07,2011-06-25,2012-03-07,21,슬리핑 베드 내부 패드의 난연성(難燃性)이 안전기준에 부적합,41,6
44,2011-03-07,2011-06-25,2012-03-07,32,슬리핑 베드 내부 패드의 난연성(難燃性)이 안전기준에 부적합,42,6
45,2011-05-15,2011-07-03,2012-03-07,979,좌석 시트커버의 난연성(難燃性)이 안전기준에 부적합,43,8
46,2010-11-16,2011-05-14,2012-03-07,7238,정면충돌 시 배터리 전기배선 손상으로 전기합선에 의한 화재가 발생할 가능성으로 안전운행에 지장,44,6
47,2010-04-16,2010-09-13,2012-03-12,26,사이드 스탠드 스위치 고정볼트 불량으로 볼트가 풀릴 경우 주행 중 시동이 꺼질 수 있어 안전운행에 지장,45,13
48,2009-03-02,2010-06-04,2012-03-12,7,엔진에 윤활오일을 공급하는 펌프불량으로 오일이 엔진에 공급되지 않아 주행 중 시동이 꺼질 수 있어 안전운행에 지장,46,3
49,2010-06-04,2011-04-26,2012-03-16,59,임의로 구조물 등을 장착하여 차량 총중량을 자기인증 한 내용과 다르게 제작판매,47,13
50,2010-06-03,2011-04-27,2012-03-16,167,임의로 구조물 등을 장착하여 차량 총중량을 자기인증 한 내용과 다르게 제작판매,48,13
51,2008-07-01,2010-06-30,2012-03-26,22,"콤비네이션 램프(제동등, 방향지시등, 차폭등) 결함으로 점등이 되지 않아 뒤따라오는 자동차가 앞차의 예상 진행방향(정지, 방향전환 등)을 알지 못하여 안전운행에 지장",49,1
52,2008-07-01,2010-06-30,2012-03-26,2,"콤비네이션 램프(제동등, 방향지시등, 차폭등) 결함으로 점등이 되지 않아 뒤따라오는 자동차가 앞차의 예상 진행방향(정지, 방향전환 등)을 알지 못하여 안전운행에 지장",50,1
53,2008-07-01,2010-06-30,2012-03-26,6,"콤비네이션 램프(제동등, 방향지시등, 차폭등) 결함으로 점등이 되지 않아 뒤따라오는 자동차가 앞차의 예상 진행방향(정지, 방향전환 등)을 알지 못하여 안전운행에 지장",51,1
54,2009-11-18,2011-11-23,2012-03-26,50,"연료라인에 부착되어 있는 연료압력센서가 규정보다 낮은 힘으로 조립되어 연료가 누유 될 가능성이 있고, 주행 중 시동이 꺼져 안전운행에 지장",52,5
55,2009-10-07,2011-11-25,2012-03-26,91,"연료라인에 부착되어 있는 연료압력센서가 규정보다 낮은 힘으로 조립되어 연료가 누유 될 가능성이 있고, 주행 중 시동이 꺼져 안전운행에 지장",53,5
56,2010-04-30,2012-03-05,2012-03-30,283,전조등이 자동차안전기준상의 허용기준 보다 높게 비춰져 야간 운행 시 상대방 운전자의 시야확보를 어렵게 하는 등 안전운행에 지장을 줄 가능성이 발견,54,10
57,2010-04-30,2012-03-05,2012-03-30,4834,전조등이 자동차안전기준상의 허용기준 보다 높게 비춰져 야간 운행 시 상대방 운전자의 시야확보를 어렵게 하는 등 안전운행에 지장을 줄 가능성이 발견,55,10
58,2010-04-30,2012-03-05,2012-03-30,7630,전조등이 자동차안전기준상의 허용기준 보다 높게 비춰져 야간 운행 시 상대방 운전자의 시야확보를 어렵게 하는 등 안전운행에 지장을 줄 가능성이 발견,56,10
59,2011-09-08,2012-01-24,2012-04-02,3,연료파이프 연결장치가 냉각수 파이프와 닿을 경우 냉각수 열에 의한 변형으로 연료가 누유 되어 시동이 꺼져 안전운행에 지장,57,3
60,2011-09-08,2012-01-24,2012-04-02,49,연료파이프 연결장치가 냉각수 파이프와 닿을 경우 냉각수 열에 의한 변형으로 연료가 누유 되어 시동이 꺼져 안전운행에 지장,58,3
61,2011-09-08,2012-01-24,2012-04-02,5,연료파이프 연결장치가 냉각수 파이프와 닿을 경우 냉각수 열에 의한 변형으로 연료가 누유 되어 시동이 꺼져 안전운행에 지장,59,3
62,2011-09-08,2012-01-24,2012-04-02,10,연료파이프 연결장치가 냉각수 파이프와 닿을 경우 냉각수 열에 의한 변형으로 연료가 누유 되어 시동이 꺼져 안전운행에 지장,60,3
63,2011-05-16,2011-10-06,2012-04-06,14,운전석 및 조수석 하단에 있는 전기배선의 고정이 부적절하여 운행 중 승객의 체중에 의해 좌석이 눌려지면서 배선이 끊어져 에어백이 작동되지 않아 안전운행에 지장,61,7
64,2011-05-16,2011-10-14,2012-04-06,22,운전석 및 조수석 하단에 있는 전기배선의 고정이 부적절하여 운행 중 승객의 체중에 의해 좌석이 눌려지면서 배선이 끊어져 에어백이 작동되지 않아 안전운행에 지장,62,7
65,2011-05-16,2011-10-06,2012-04-06,25,운전석 및 조수석 하단에 있는 전기배선의 고정이 부적절하여 운행 중 승객의 체중에 의해 좌석이 눌려지면서 배선이 끊어져 에어백이 작동되지 않아 안전운행에 지장,63,7
66,2011-05-16,2011-10-14,2012-04-06,25,운전석 및 조수석 하단에 있는 전기배선의 고정이 부적절하여 운행 중 승객의 체중에 의해 좌석이 눌려지면서 배선이 끊어져 에어백이 작동되지 않아 안전운행에 지장,64,7
67,2011-05-16,2011-10-06,2012-04-06,93,운전석 및 조수석 하단에 있는 전기배선의 고정이 부적절하여 운행 중 승객의 체중에 의해 좌석이 눌려지면서 배선이 끊어져 에어백이 작동되지 않아 안전운행에 지장,65,7
68,2010-07-07,2011-12-05,2012-04-09,39,브레이크 라인의 내부 재질 불량으로 브레이크 호스가 갈라져 브레이크 오일이 누유되어 제동이 되지 않을 가능성이 발견되어 리콜실시,66,1
69,2010-07-07,2011-12-05,2012-04-09,38,브레이크 라인의 내부 재질 불량으로 브레이크 호스가 갈라져 브레이크 오일이 누유되어 제동이 되지 않을 가능성이 발견되어 리콜실시,67,1
70,2007-12-10,2008-01-30,2012-04-10,46,에어컨 방열기에서 발생한 물이 차체외부로 배출되어야 하나 에어백제어장치로 유입되어 에어백이 정상적으로 작동되지 않아 안전운행에 지장,68,7
71,2007-03-08,2009-08-26,2012-04-13,20,배터리 케이블이 차체에 정확히 고정되지 않아 차체진동에 의해 배터리 연결부위가 느슨해져 전기저항이 증가하여 화재가 발생할 가능성이 있어 안전운행에 지장,69,8
72,2005-09-19,2010-03-24,2012-04-13,63,배터리 케이블이 차체에 정확히 고정되지 않아 차체진동에 의해 배터리 연결부위가 느슨해져 전기저항이 증가하여 화재가 발생할 가능성이 있어 안전운행에 지장,70,8
73,2005-02-18,2007-02-23,2012-04-13,2957,배터리 케이블이 차체에 정확히 고정되지 않아 차체진동에 의해 배터리 연결부위가 느슨해져 전기저항이 증가하여 화재가 발생할 가능성이 있어 안전운행에 지장,71,8
74,2005-03-17,2006-12-20,2012-04-13,20,배터리 케이블이 차체에 정확히 고정되지 않아 차체진동에 의해 배터리 연결부위가 느슨해져 전기저항이 증가하여 화재가 발생할 가능성이 있어 안전운행에 지장,72,8
75,2005-07-12,2009-04-27,2012-04-13,26,배터리 케이블이 차체에 정확히 고정되지 않아 차체진동에 의해 배터리 연결부위가 느슨해져 전기저항이 증가하여 화재가 발생할 가능성이 있어 안전운행에 지장,73,8
76,2008-05-29,2009-10-05,2012-04-13,2,배터리 케이블이 차체에 정확히 고정되지 않아 차체진동에 의해 배터리 연결부위가 느슨해져 전기저항이 증가하여 화재가 발생할 가능성이 있어 안전운행에 지장,74,8
77,2008-07-22,2009-02-02,2012-04-13,18,배터리 케이블이 차체에 정확히 고정되지 않아 차체진동에 의해 배터리 연결부위가 느슨해져 전기저항이 증가하여 화재가 발생할 가능성이 있어 안전운행에 지장,75,8
78,2003-08-28,2009-09-23,2012-04-13,2332,배터리 케이블이 차체에 정확히 고정되지 않아 차체진동에 의해 배터리 연결부위가 느슨해져 전기저항이 증가하여 화재가 발생할 가능성이 있어 안전운행에 지장,76,8
79,2003-09-09,2009-12-17,2012-04-13,12423,배터리 케이블이 차체에 정확히 고정되지 않아 차체진동에 의해 배터리 연결부위가 느슨해져 전기저항이 증가하여 화재가 발생할 가능성이 있어 안전운행에 지장,77,8
80,2005-07-25,2008-09-15,2012-04-13,65,배터리 케이블이 차체에 정확히 고정되지 않아 차체진동에 의해 배터리 연결부위가 느슨해져 전기저항이 증가하여 화재가 발생할 가능성이 있어 안전운행에 지장,78,8
81,2004-04-21,2007-04-04,2012-04-13,2,배터리 케이블이 차체에 정확히 고정되지 않아 차체진동에 의해 배터리 연결부위가 느슨해져 전기저항이 증가하여 화재가 발생할 가능성이 있어 안전운행에 지장,79,8
82,2004-03-01,2005-08-23,2012-04-13,49,배터리 케이블이 차체에 정확히 고정되지 않아 차체진동에 의해 배터리 연결부위가 느슨해져 전기저항이 증가하여 화재가 발생할 가능성이 있어 안전운행에 지장,80,8
83,2007-06-25,2008-09-10,2012-04-13,6,배터리 케이블이 차체에 정확히 고정되지 않아 차체진동에 의해 배터리 연결부위가 느슨해져 전기저항이 증가하여 화재가 발생할 가능성이 있어 안전운행에 지장,81,8
84,2003-04-08,2009-09-23,2012-04-13,1170,배터리 케이블이 차체에 정확히 고정되지 않아 차체진동에 의해 배터리 연결부위가 느슨해져 전기저항이 증가하여 화재가 발생할 가능성이 있어 안전운행에 지장,82,8
85,2005-10-23,2008-10-15,2012-04-13,33,배터리 케이블이 차체에 정확히 고정되지 않아 차체진동에 의해 배터리 연결부위가 느슨해져 전기저항이 증가하여 화재가 발생할 가능성이 있어 안전운행에 지장,83,8
86,2007-05-30,2009-01-12,2012-04-13,3,배터리 케이블이 차체에 정확히 고정되지 않아 차체진동에 의해 배터리 연결부위가 느슨해져 전기저항이 증가하여 화재가 발생할 가능성이 있어 안전운행에 지장,84,8
87,2008-04-15,2009-12-05,2012-04-13,582,배터리 케이블이 차체에 정확히 고정되지 않아 차체진동에 의해 배터리 연결부위가 느슨해져 전기저항이 증가하여 화재가 발생할 가능성이 있어 안전운행에 지장,85,8
88,2005-06-21,2006-09-06,2012-04-13,3,배터리 케이블이 차체에 정확히 고정되지 않아 차체진동에 의해 배터리 연결부위가 느슨해져 전기저항이 증가하여 화재가 발생할 가능성이 있어 안전운행에 지장,86,8
89,2005-06-01,2006-10-09,2012-04-13,5,배터리 케이블이 차체에 정확히 고정되지 않아 차체진동에 의해 배터리 연결부위가 느슨해져 전기저항이 증가하여 화재가 발생할 가능성이 있어 안전운행에 지장,87,8
90,2006-02-28,2006-11-30,2012-04-13,2,배터리 케이블이 차체에 정확히 고정되지 않아 차체진동에 의해 배터리 연결부위가 느슨해져 전기저항이 증가하여 화재가 발생할 가능성이 있어 안전운행에 지장,88,8
91,2010-07-19,2012-02-06,2012-04-23,1,리어 휠 스포크에서 균열이 발생하여 주행 중 파손되어 전도되어 안전운행에 지장,33,11
92,2010-07-19,2012-02-06,2012-04-23,1,리어 휠 스포크에서 균열이 발생하여 주행 중 파손되어 전도되어 안전운행에 지장,31,11
93,2010-07-19,2012-02-06,2012-04-23,2,리어 휠 스포크에서 균열이 발생하여 주행 중 파손되어 전도되어 안전운행에 지장,89,11
94,2010-07-19,2012-02-06,2012-04-23,1,리어 휠 스포크에서 균열이 발생하여 주행 중 파손되어 전도되어 안전운행에 지장,34,11
95,2011-11-07,2012-01-16,2012-04-27,571,좌석이 정확히 고정되지 않아 주행 중 고정 장치가 빠질 경우 안전운행에 지장을 줄 가능성이 발견됨,90,8
96,2011-11-07,2012-01-16,2012-04-27,1323,좌석이 정확히 고정되지 않아 주행 중 고정 장치가 빠질 경우 안전운행에 지장을 줄 가능성이 발견됨,91,8
97,2011-06-13,2011-10-18,2012-04-30,295,와이퍼 모터 커넥터에 수분이 유입되어 작동이 되지 않아 운전자의 시야확보가 어려워 안전운행에 지장,92,10
98,2012-01-09,2012-04-18,2012-05-02,3,연료라인 연결장치 결함으로 주행 중 누유되어 안전운행에 지장,93,5
99,2011-05-06,2011-05-06,2012-05-04,28,엔진의 터보차저 냉각을 위한 보조 냉각수 펌프 내 전기스위치에서 단락에 의한 과열로 화재 가능성이 있어 안전운행에 지장,94,3
100,2011-04-26,2011-05-02,2012-05-04,6,엔진의 터보차저 냉각을 위한 보조 냉각수 펌프 내 전기스위치에서 단락에 의한 과열로 화재 가능성이 있어 안전운행에 지장,95,3
101,2011-04-15,2011-04-20,2012-05-04,2,엔진의 터보차저 냉각을 위한 보조 냉각수 펌프 내 전기스위치에서 단락에 의한 과열로 화재 가능성이 있어 안전운행에 지장,96,3
102,2011-03-31,2011-04-22,2012-05-04,100,엔진의 터보차저 냉각을 위한 보조 냉각수 펌프 내 전기스위치에서 단락에 의한 과열로 화재 가능성이 있어 안전운행에 지장,97,3
103,2011-05-23,2011-06-15,2012-05-04,3,엔진의 터보차저 냉각을 위한 보조 냉각수 펌프 내 전기스위치에서 단락에 의한 과열로 화재 가능성이 있어 안전운행에 지장,98,3
104,2011-05-23,2011-06-15,2012-05-04,3,엔진의 터보차저 냉각을 위한 보조 냉각수 펌프 내 전기스위치에서 단락에 의한 과열로 화재 가능성이 있어 안전운행에 지장,99,3
105,2011-05-25,2011-05-26,2012-05-04,2,엔진의 터보차저 냉각을 위한 보조 냉각수 펌프 내 전기스위치에서 단락에 의한 과열로 화재 가능성이 있어 안전운행에 지장,100,3
106,2011-04-11,2011-04-21,2012-05-04,3,엔진의 터보차저 냉각을 위한 보조 냉각수 펌프 내 전기스위치에서 단락에 의한 과열로 화재 가능성이 있어 안전운행에 지장,70,3
107,2011-04-11,2011-04-27,2012-05-04,4,엔진의 터보차저 냉각을 위한 보조 냉각수 펌프 내 전기스위치에서 단락에 의한 과열로 화재 가능성이 있어 안전운행에 지장,101,3
108,2011-02-21,2011-03-29,2012-05-07,8,변속기(CVT) 결함으로 가속이 되지않는 등 운전자의 의도대로 작동이 되지않아 안전운행에 지장,102,4
109,2011-02-28,2011-04-05,2012-05-31,79,파워핸들 유압호스 연결부위(유니언)가 규정된 조임 압력보다 낮게 조립되어 운행 중 유압오일이 누유 되어 핸들 조작이 어려워져 안전운행에 지장,103,2
110,2011-02-28,2011-04-05,2012-05-31,4,파워핸들 유압호스 연결부위(유니언)가 규정된 조임 압력보다 낮게 조립되어 운행 중 유압오일이 누유 되어 핸들 조작이 어려워져 안전운행에 지장,104,2
111,2011-12-19,2012-03-19,2012-05-31,1,후브레이크 패드의 마찰면이 분리되어 제동이 되지않아 안전운행에 지장,105,1
112,2011-12-19,2012-03-19,2012-05-31,2,후브레이크 패드의 마찰면이 분리되어 제동이 되지않아 안전운행에 지장,106,1
113,2011-03-31,2011-08-25,2012-06-01,729,연료 내 이물질을 걸러주는 연료필터 불량으로 운행 중 연료가 누유 되어 화재가 발생할 수 있어 안전운행에 지장,107,5
114,2011-03-25,2011-09-20,2012-06-01,382,연료 내 이물질을 걸러주는 연료필터 불량으로 운행 중 연료가 누유 되어 화재가 발생할 수 있어 안전운행에 지장,108,5
115,2008-05-02,2009-07-13,2012-06-04,3182,설정속도(약64km/h) 이상에서 충돌 사고 시 운전자의 발목 부상을 줄이기 위해 브레이크 페달이 파손되게 제작되었으나 설정속도 이하 충돌 사고 시에도 파손되어 제동불량으로 2차 사고의 가능성으로 안전운행에 지장,109,1
116,2011-11-04,2012-04-02,2012-06-08,73,엔진커넥팅로드 볼트 조임불량으로 소음이 발생하거나 엔진이 정지하여 안전운행에 지장,110,3
117,2011-03-21,2011-12-20,2012-06-14,1085,전원분배장치(퓨즈박스) 내 ABS 및 ESC 관련배선 과열로 시스템이 작동되지 않아 안전운행에 지장,111,1
118,2011-10-14,2012-05-31,2012-06-25,1,엔진 크랭크 사프트의 변형으로 엔진이 고착되어 시동이 꺼질 가능성이 있어 안전운행에 지장,112,3
119,2011-10-14,2012-05-31,2012-06-25,1,엔진 크랭크 사프트의 변형으로 엔진이 고착되어 시동이 꺼질 가능성이 있어 안전운행에 지장,113,3
120,2009-09-15,2011-03-22,2012-06-25,70,사이드 스탠드 스위치 고정볼트 불량으로 볼트가 풀릴 경우 주행 중 시동이 꺼질 수 있어 안전운행에 지장,114,13
121,2011-06-24,2011-10-06,2012-07-12,32,이륜자동차의 후 쇼바와 에어크리너커버가 간섭되어 에어크리너가 파손되어 안전운행에 지장,115,13
122,2012-05-04,2012-05-25,2012-07-13,17,파워핸들 기어박스에서 오일이 누유되어 주행중 핸들이 무거워지거나 화재의 위험이 있어 안전운행에 지장,116,2
123,2012-04-24,2012-05-24,2012-07-13,33,파워핸들 기어박스에서 오일이 누유되어 주행중 핸들이 무거워지거나 화재의 위험이 있어 안전운행에 지장,98,2
124,2011-04-27,2012-05-22,2012-08-01,12,엔진의 출력을 증가시켜 주는 터보차저의 내구성이 저하되어 엔진 출력 저하 및 엔진오일이 누유,117,3
125,2011-04-27,2012-05-22,2012-08-01,2,엔진의 출력을 증가시켜 주는 터보차저의 내구성이 저하되어 엔진 출력 저하 및 엔진오일이 누유,118,3
126,2011-06-29,2012-06-15,2012-08-01,990,운전석 문 잠금장치 결함으로 충돌 사고 시 문이 열릴 수 있어 안전운행에 지장,119,8
127,2011-06-25,2011-11-30,2012-08-03,7,전기식 파워핸들 결함으로 주행 중 갑자기 핸들이 무거워져 안전운행에 지장,120,2
128,2011-11-24,2011-12-02,2012-08-03,6,전기식 파워핸들 결함으로 주행 중 갑자기 핸들이 무거워져 안전운행에 지장,121,2
129,1999-10-22,2002-07-19,2012-08-03,435,브레이크 오일탱크에서 오일이 누유 되어 오일에 의한 전기배선 합선으로 화재가 발생할 가능성이 발견되었,122,1
130,2011-06-21,2011-12-09,2012-08-07,571,선루프 유리가 영하20도 정도에서 외부의 충격이 없는 경우에도 갑자기 깨질 수 있어 안전운행에 지장,123,8
